Country,TransactionCount
GREATER MANCHESTER,198338
LEICESTERSHIRE,61963
RUTLAND,3267
OXFORDSHIRE,64477
MILTON KEYNES,27230
MERTHYR TYDFIL,3266
NORTHAMPTONSHIRE,73260
AVON,16499
MONMOUTHSHIRE,6119
BRIGHTON AND HOVE,22610
THE VALE OF GLAMORGAN,9287
WREKIN,6530
WOKINGHAM,16949
SOUTH YORKSHIRE,88705
SLOUGH,12048
MID GLAMORGAN,5846
SOUTH GLAMORGAN,1775
SOUTH GLOUCESTERSHIRE,23808
YORK,16780
DERBYSHIRE,71382
HEREFORDSHIRE,7114
EAST SUSSEX,75191
EAST RIDING OF YORKSHIRE,26117
WEST YORKSHIRE,174709
LEICESTER,18615
CHESHIRE EAST,318
REDCAR AND CLEVELAND,7365
TORFAEN,5710
CHESHIRE,61428
CONWY,8271
CITY OF KINGSTON UPON HULL,14264
CUMBRIA,43160
CITY OF NOTTINGHAM,7577
STOKE-ON-TRENT,18683
HEREFORD AND WORCESTER,7880
HALTON,6973
NEATH PORT TALBOT,7589
GWYNEDD,10041
WREXHAM,6670
WEST SUSSEX,92960
DARLINGTON,9710
BRIDGEND,6785
BRACKNELL FOREST,13226
CAMBRIDGESHIRE,68247
THURROCK,15244
MERSEYSIDE,96965
WEST MIDLANDS,179714
WORCESTERSHIRE,54305
CAERPHILLY,10220
WEST BERKSHIRE,6188
POOLE,18335
STOCKTON-ON-TEES,14907
NOTTINGHAMSHIRE,77005
KENT,139937
NORTH LINCOLNSHIRE,9819
SOMERSET,53935
NORTHUMBERLAND,25427
BLAENAU GWENT,3590
PEMBROKESHIRE,6407
DENBIGHSHIRE,6182
SWANSEA,17334
BUCKINGHAMSHIRE,51897
CITY OF PETERBOROUGH,6804
ISLE OF WIGHT,16886
MIDDLESBROUGH,9430
TORBAY,16765
GWENT,1897
ESSEX,144359
FLINTSHIRE,8522
PORTSMOUTH,21214
CITY OF PLYMOUTH,8996
BATH AND NORTH EAST SOMERSET,13912
WILTSHIRE,47339
CARDIFF,26150
WEST GLAMORGAN,2048
CITY OF BRISTOL,31429
RHONDDA CYNON TAFF,12374
SURREY,119325
CLWYD,5171
TYNE AND WEAR,79015
NORTH YORKSHIRE,55556
HUMBERSIDE,14436
SOUTHEND-ON-SEA,20560
LANCASHIRE,106906
BLACKPOOL,14263
COUNTY DURHAM,419
CEREDIGION,4089
CARMARTHENSHIRE,8670
NORTH SOMERSET,17825
WARWICKSHIRE,49614
STAFFORDSHIRE,68252
DYFED,2794
LINCOLNSHIRE,68474
ISLES OF SCILLY,139
SHROPSHIRE,35843
SOUTHAMPTON,22208
WINDSOR AND MAIDENHEAD,15573
BEDFORDSHIRE,42982
HAMPSHIRE,140664
ISLE OF ANGLESEY,3959
BLACKBURN WITH DARWEN,6189
BOURNEMOUTH,23216
CLEVELAND,1765
BERKSHIRE,9254
CENTRAL BEDFORDSHIRE,158
BEDFORD,222
CORNWALL,53033
READING,15973
SWINDON,14446
SUFFOLK,70359
THAMESDOWN,8882
MEDWAY,9857
GLOUCESTERSHIRE,59952
LUTON,18686
CHESHIRE WEST AND CHESTER,186
DEVON,90143
HERTFORDSHIRE,114051
NEWPORT,10806
WARRINGTON,17644
DORSET,47255
DURHAM,36779
CITY OF DERBY,12558
HARTLEPOOL,6531
NORTH EAST LINCOLNSHIRE,11242
NORFOLK,84312
GREATER LONDON,689347
POWYS,7399
